,precision,recall,f1-score,support
pharyngitis,0.5882352941176471,0.45454545454545453,0.5128205128205129,22.0
no_pharyngitis,0.6842105263157895,0.7878787878787878,0.732394366197183,33.0
accuracy,0.6545454545454545,0.6545454545454545,0.6545454545454545,0.6545454545454545
macro avg,0.6362229102167183,0.6212121212121212,0.6226074395088479,55.0
weighted avg,0.6458204334365325,0.6545454545454545,0.644564824846515,55.0
