,precision,recall,f1-score,support
Hbv,0.4230769230769231,0.34375,0.3793103448275862,64.0
He,0.5,0.8095238095238095,0.6181818181818182,42.0
IPCL,0.45901639344262296,0.4117647058823529,0.434108527131783,68.0
Le,0.8157894736842105,0.6888888888888889,0.746987951807229,45.0
accuracy,0.5251141552511416,0.5251141552511416,0.5251141552511416,0.5251141552511416
macro avg,0.5494706975509391,0.5634818510737629,0.544647160487104,219.0
weighted avg,0.5296829413096389,0.5251141552511416,0.5176864662506321,219.0
