,precision,recall,f1-score,support
pharyngitis,0.6,0.5454545454545454,0.5714285714285713,22.0
no_pharyngitis,0.7142857142857143,0.7575757575757576,0.7352941176470589,33.0
accuracy,0.6727272727272727,0.6727272727272727,0.6727272727272727,0.6727272727272727
macro avg,0.6571428571428571,0.6515151515151515,0.653361344537815,55.0
weighted avg,0.6685714285714286,0.6727272727272727,0.6697478991596638,55.0
