,precision,recall,f1-score,support
Hbv,0.9242424242424242,0.953125,0.9384615384615383,64.0
He,0.7407407407407407,0.9523809523809523,0.8333333333333334,42.0
IPCL,0.9523809523809523,0.8823529411764706,0.916030534351145,68.0
Le,0.9722222222222222,0.7777777777777778,0.8641975308641976,45.0
accuracy,0.8949771689497716,0.8949771689497716,0.8949771689497716,0.8949771689497716
macro avg,0.8973965848965848,0.8914091678338001,0.8880057342525536,219.0
weighted avg,0.9076462603859864,0.8949771689497716,0.8960753592981973,219.0
