,precision,recall,f1-score,support
pharyngitis,0.6666666666666666,0.5454545454545454,0.6,22.0
no_pharyngitis,0.7297297297297297,0.8181818181818182,0.7714285714285715,33.0
accuracy,0.7090909090909091,0.7090909090909091,0.7090909090909091,0.7090909090909091
macro avg,0.6981981981981982,0.6818181818181819,0.6857142857142857,55.0
weighted avg,0.7045045045045044,0.7090909090909091,0.7028571428571428,55.0
