,precision,recall,f1-score,support
Hbv,0.9242424242424242,0.953125,0.9384615384615383,64.0
He,0.803921568627451,0.9761904761904762,0.8817204301075269,42.0
IPCL,0.9696969696969697,0.9411764705882353,0.955223880597015,68.0
Le,0.9444444444444444,0.7555555555555555,0.8395061728395062,45.0
accuracy,0.91324200913242,0.91324200913242,0.91324200913242,0.91324200913242
macro avg,0.9105763517528223,0.9065118755835668,0.9037280055013966,219.0
weighted avg,0.9194320318413791,0.91324200913242,0.9124511332622346,219.0
