,precision,recall,f1-score,support
Hbv,0.4925373134328358,0.515625,0.5038167938931298,64.0
He,0.8367346938775511,0.9761904761904762,0.9010989010989012,42.0
IPCL,0.625,0.5147058823529411,0.564516129032258,68.0
Le,0.7659574468085106,0.8,0.7826086956521738,45.0
accuracy,0.6621004566210046,0.6621004566210046,0.6621004566210046,0.6621004566210046
macro avg,0.6800573635297245,0.7016303396358543,0.6880101299191157,219.0
weighted avg,0.6558599557485919,0.6621004566210046,0.6561411723007101,219.0
